lat_bin_center,lon_bin_center,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,fishing_days,fishing_hours,fishing_kwh
-48.875,-66.125,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-38.875,-57.375,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-50.375,-68.125,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,6,8.318888888888887,9786.22174388246
-48.875,-65.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-48.625,-64.125,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-51.125,-62.875,China,CHN,unknown,squid_jigger,squid_jigger,0,0,0
-51.875,-63.875,China,CHN,unknown,squid_jigger,squid_jigger,0,0,0
-52.625,-54.875,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-52.875,-54.875,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-52.875,-64.125,China,CHN,unknown,squid_jigger,squid_jigger,0,0,0
-42.875,-59.375,Argentina,ARG,NA,other_fishing,pole_and_line,20,194.95305555555575,326732.0715263501
-49.875,-64.875,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-52.625,-64.875,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-40.375,-58.625,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-41.375,-57.375,Argentina,ARG,NA,trawlers,trawlers,31,281.86249999999995,423476.2412680663
-47.875,-63.125,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-42.625,-59.125,Argentina,ARG,NA,other_fishing,pole_and_line,5,11.541805555555552,19343.518507953588
-47.875,-62.125,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-47.625,-62.125,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-47.625,-63.625,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-50.375,-62.625,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-45.125,-63.875,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-45.125,-62.375,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-49.375,-63.125,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-39.125,-57.625,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-46.125,-64.375,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-44.875,-65.375,United Arab Emirates,ARE,NA,fixed_gear,set_longlines,0,0,0
-41.125,-57.125,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
-36.875,-55.625,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
-52.875,-52.875,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-48.125,-56.875,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-53.375,-57.625,Chile,CHL,unknown,drifting_longlines,drifting_longlines,0,0,0
-41.875,-59.375,China,CHN,NA,squid_jigger,squid_jigger,1,10.195277777777779,12772.454527389433
-41.125,-59.875,China,CHN,unknown,squid_jigger,squid_jigger,0,0,0
-39.625,-58.125,Argentina,ARG,unknown_not_fishing,reefer,reefer,0,0,0
-49.625,-59.875,South Korea,KOR,NA,trawlers,trawlers,8,26.971249999999984,82144.72058790471
-48.375,-65.375,Argentina,ARG,NA,trawlers,trawlers,0,0,0
-47.875,-65.125,Argentina,ARG,NA,trawlers,trawlers,0,0,0
-39.375,-55.625,Argentina,ARG,NA,trawlers,trawlers,4,12.703472222222226,12212.650752205169
-43.125,-63.375,Argentina,ARG,unknown_fishing,purse_seines,purse_seines,4,25.776111111111106,44286.923725571076
-43.625,-64.625,Argentina,ARG,unknown_fishing,purse_seines,purse_seines,1,0.8669444444444445,1489.5304539895612
-46.625,-63.375,Argentina,ARG,unknown_fishing,purse_seines,purse_seines,0,0,0
-45.625,-64.625,Argentina,ARG,unknown_fishing,purse_seines,purse_seines,0,0,0
-40.625,-56.875,China,CHN,unknown,trawlers,trawlers,0,0,0
-52.125,-66.625,Argentina,ARG,unknown_fishing,trawlers,trawlers,0,0,0
-49.625,-65.625,Argentina,ARG,unknown_fishing,trawlers,trawlers,2,5.69125,8310.01324562102
-50.125,-64.875,China,CHN,NA,squid_jigger,squid_jigger,0,0,0
-37.375,-55.125,China,CHN,NA,squid_jigger,squid_jigger,0,0,0
-52.375,-63.375,Saint Vincent and the Grenadines,VCT,NA,other_fishing,trawlers,0,0,0
-52.375,-68.375,Saint Vincent and the Grenadines,VCT,NA,other_fishing,trawlers,0,0,0
-40.125,-56.375,Argentina,ARG,NA,squid_jigger,squid_jigger,3,16.802500000000002,18243.591299210228
-40.625,-57.125,Argentina,ARG,NA,squid_jigger,squid_jigger,1,0.8058333333333333,875.9842319145915
-50.375,-64.625,China,CHN,unknown,NA,NA,0,0,0
-49.125,-59.125,Taiwan,TWN,unknown,passenger,motor_passenger,0,0,0
-49.125,-55.875,Falkland Islands,FLK,trawlers,trawlers,trawlers,0,0,0
-44.875,-61.875,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-48.875,-58.375,Falkland Islands,FLK,NA,trawlers,trawlers,0,0,0
-41.625,-64.125,Argentina,ARG,unknown_fishing,trawlers,trawlers,4,26.228472222222226,9579.119923342361
-38.875,-58.125,Argentina,ARG,NA,cargo_or_tanker,trawlers,0,0,0
-47.625,-63.375,Argentina,ARG,NA,trawlers,trawlers,46,218.90194444444415,478310.28745522734
-49.875,-62.125,Vanuatu,VUT,NA,drifting_longlines,drifting_longlines,2,4.009027777777777,10757.118195950865
-49.875,-59.375,Vanuatu,VUT,NA,drifting_longlines,drifting_longlines,0,0,0
-49.875,-60.125,Vanuatu,VUT,NA,drifting_longlines,drifting_longlines,1,4.9375000000000036,13248.416832359368
