year,mmsi,on_fishing_list,on_fishing_list_nn,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,length,tonnage,engine_power,days,hours,fishing_days,fishing_hours,fishing_kwh
2014,412326889,FALSE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,61.1117515024,1491,1470,21,168.15055555555557,9,35.45777777777778,52122.933333333334
2014,701037000,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,56.4164353135,1275.93383596,1510.25254226,325,7659.954999999988,176,2908.4650000000006,4392516.66032423
2016,701000529,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,55.3050491343,1179.08139588,1975.29316982,264,6155.452222222014,58,1043.437499999997,2061094.9668840575
2016,701000617,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,27.6737680157,254.764588058,602.468114461,328,7736.09555555547,180,3159.757222222215,1903652.9758267435
2015,412329656,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,79.8932017462,1655,2100,43,264.0831944444444,32,210.36124999999996,441758.6250000002
2015,770576065,TRUE,TRUE,Uruguay,URY,unknown_fishing,trawlers,trawlers,40.480566258,575.258045049,1242.86206887,73,1487.596944444442,58,1015.1672222222222,1261712.8340601202
2016,701000632,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,55.8876476607,815.942802049,1271.77331661,141,3320.468333333305,62,808.0122222222259,1027608.3837169685
2015,701000658,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,47.2407790914,690.992931593,1574.01048536,284,6672.865416666609,205,4055.802777777753,6383876.098774533
2016,412420611,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,57.6530858636,950,1289.07554536,17,210.10305555555553,15,127.505,164363.57741112678
2014,701000550,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,41.518469283500004,615.441402326,1278.89992608,295,7038.474722222113,117,2055.260833333333,2628472.9278251235
2016,701000765,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,48.4091906141,940.947400951,1367.54268124,360,8579.574583332504,136,2575.397222222224,3521965.6225357717
2016,412420539,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,51.8802407064,727,1297.80026252,10,102.47805555555556,6,40.52375,52591.733388294844
2015,416031600,TRUE,TRUE,Taiwan,TWN,unknown,squid_jigger,squid_jigger,66.7,945,1323,91,2169.9220833333184,54,527.984583333333,698523.6037500005
2016,412420581,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,49.5403960631,736,936.87674143900006,10,178.92611111111106,5,47.592638888888885,44588.436438705256
2014,770576214,FALSE,TRUE,Uruguay,URY,unknown_fishing,trawlers,trawlers,27.206478586,149.365375029,441.839172382,3,48.12486111111111,3,47.71222222222222,21081.12877917273
2016,412329463,FALSE,TRUE,China,CHN,NA,squid_jigger,squid_jigger,62.5700444594,1291.57568089,1921.50611559,58,322.1548611111109,44,153.40125,294761.44001415104
2015,441298000,TRUE,TRUE,South Korea,KOR,NA,squid_jigger,squid_jigger,56.134293463,825.888780859,1300.47899347,129,3035.805972222164,62,573.8859722222226,746326.6515220985
2014,701000546,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,46.5870585838,763.195160364,1543.90669744,196,4701.6330555554905,130,2126.7697222222305,3283534.0180515177
2016,740369000,TRUE,TRUE,Falkland Islands,FLK,NA,drifting_longlines,drifting_longlines,45.4619863065,885.530901451,1367.34236192,271,6500.980694443658,215,4172.89652777733,5705778.194339446
2014,272208000,TRUE,TRUE,Ukraine,UKR,trawlers,trawlers,trawlers,103.1,6394,7292.3248509,19,400.6333333333334,5,73.39097222222222,535190.8105678228
2016,416510000,TRUE,TRUE,Taiwan,TWN,NA,squid_jigger,squid_jigger,62.0881265682,1250.01857202,1797.36891691,13,234.46472222222127,8,65.53319444444455,117787.32672026359
2015,701000580,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,23.0312523791,135.001018972,342.814880706,82,1541.8226388888895,37,379.0966666666667,129959.97855937552
2014,701006038,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,44.7746189611,831.075987415,1584.32625544,317,7372.279027777764,154,2800.7955555555554,4437373.934786327
2014,770576182,TRUE,TRUE,Uruguay,URY,unknown_fishing,trawlers,trawlers,28.0411970096,163.817907319,448.669414282,53,748.8729166666668,51,644.7779166666668,289292.13021280157
2015,441360000,TRUE,TRUE,South Korea,KOR,NA,squid_jigger,squid_jigger,54.0488577781,681.834940847,1284.53349824,121,2806.82513888886,66,501.91805555555567,644730.5557325982
2015,701000584,FALSE,TRUE,Argentina,ARG,NA,drifting_longlines,drifting_longlines,19.0596627959,50.1515074637,194.314280598,70,1142.5605555555555,38,420.23388888888906,81657.44580234434
2015,224540000,FALSE,TRUE,Spain,ESP,unknown_fishing,trawlers,trawlers,50.4866746777,870.646281275,1169.63333523,163,3348.854722222224,140,2085.5590277777783,2439339.3614787576
2014,701006073,FALSE,TRUE,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,57.4654200712,1149.95408041,1482.60614058,330,7794.384027777764,193,3681.416388888889,5458090.544198516
2015,701019000,FALSE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,51.6769503096,1219.19718218,2626.50799646,365,8759.611249999856,121,2070.8722222222077,5439162.451313564
2016,412329656,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,79.8932017462,1655,2100,6,28.307083333333342,5,17.097361111111116,35904.458333333336
2014,412329687,TRUE,TRUE,China,CHN,NA,trawlers,trawlers,67.3447441282,1905.15792087,2514.98050189,4,12.089722222222223,2,5.876805555555556,14780.051385621051
2015,416536000,FALSE,TRUE,Taiwan,TWN,NA,purse_seines,purse_seines,73.7312161109,1381.64096483,2382.37262041,87,1938.902916666666,62,947.6533333333326,2257663.3549736026
2016,416004775,FALSE,TRUE,Taiwan,TWN,NA,squid_jigger,squid_jigger,71.9797687194,1416.28262743,2189.89123004,20,398.54708333333326,17,198.04583333333346,433698.8335626295
2015,416004842,FALSE,TRUE,Taiwan,TWN,NA,squid_jigger,squid_jigger,71.5430398905,1430.66373205,2243.15371759,89,2118.839861111081,77,1476.5745833333242,3312183.765903068
2015,441309000,FALSE,TRUE,South Korea,KOR,NA,trawlers,trawlers,64.1822046043,1315.36565959,2762.26014161,16,165.21388888888896,8,25.120416666666667,69389.12569896888
2014,701006138,TRUE,TRUE,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,55.3160544941,843.813492561,1453.63342404,154,3501.159444444443,98,1161.693611111111,1688676.6616048368
2015,412424703,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,55.3276567656,965,882,22,291.4227777777778,13,115.1426388888889,101555.8075
2014,701006084,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,53.8004490476,1186.77828577,2170.54430671,331,7910.639861110978,173,3268.769722222217,7095009.510515475
2014,441410000,TRUE,TRUE,South Korea,KOR,unknown,squid_jigger,squid_jigger,49.21,430.14,1119,105,2500.9773611111145,47,512.7825000000001,573803.6175
2016,701007022,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,28.7747267196,247.77581468,497.988741427,209,4925.229861110893,159,3232.0687499999603,1609533.8490180103
2015,200006637,TRUE,TRUE,Invalid MMSI,NA,NA,squid_jigger,squid_jigger,69.2053718004,1499.70363864,1657.0721442,30,319.68222222222215,17,198.4684722222222,328876.576821376
2016,441767000,TRUE,TRUE,South Korea,KOR,unknown,squid_jigger,squid_jigger,69.5,1123,1342,35,736.9738888888882,21,309.3495833333335,415147.1408333306
