year,mmsi,fishing_hours_mpa_1,fishing_hours_mpa_2,fishing_hours_mpa_3,fishing_hours_mpa_4,fishing_hours_mpa_5,fishing_hours_mpa_6,fishing_hours_mpa_7,fishing_hours_mpa_8,fishing_hours_mpa_10,fishing_hours_mpa_11,fishing_hours_mpa_12,fishing_hours_mpa_13,fishing_hours_mpa_14
2015,701000772,0,0,0,0,0,0,0,0,307.09472222222223,99.42916666666666,66.03722222222223,0,0
2015,701000785,0,0,0,0,0,0,0,0,289.2133333333333,216.90194444444444,127.77569444444444,0,0
2015,701000791,0,0,0.6356944444444445,0,0,0,0,0,0,1.9498611111111113,0.9040277777777779,0,0
2015,701000794,0,0,11.563611111111111,0,0,0,0,0,0,0,0,0,0
2015,701000800,0,0,0,0,0,0,0,0,376.13055555555553,136.005,44.40013888888889,0,0
2015,701000805,0,0,0,0,0,0,0,0,191.86875,99.30430555555556,61.04263888888889,0,0
2015,701000808,0,0,3.0968055555555556,0,0,0,0,0,0,0,0,0,0
2015,701000814,0,0,0,0,0,0,0,0,18.495277777777776,0,0,0,0
2015,701000816,0,0,0,0,0,0,0,0,246.95569444444445,0,0,0,0
2015,701000818,0,0,44.40277777777778,16.42875,0,0,0,0,0,0,0,0,0
2015,701000823,0,1.2637500000000002,42.10736111111111,0,0,0,0,0,0,0,0,0,0
2015,701000830,0,0,0,0,0,0,0,0,253.94166666666666,349.73291666666665,223.26291666666665,0,0
2015,701000834,0,0,10.176388888888889,0,0,0,0,0,0,0,0,0,0
2015,701000835,0,0,443.4894444444445,12.85125,0,0,0,0,0,0,0,0,0
2015,701000837,0,0,41.02361111111111,0,0,0,0,0,0,90.60583333333334,27.523333333333333,123.00402777777778,6.259166666666666
2015,701000840,0,0,0,0,0,0,0,0,219.34,77.1248611111111,42.652499999999996,0,0
2015,701000844,0,0,0,0,0,0,0,0,0,51.249027777777776,0,0,0
2015,701000849,0,0,110.98444444444445,5.258333333333334,0,0,0,0,0,102.32861111111112,102.32861111111112,0,0
2015,701000850,0,0,347.51875,5.294444444444444,0,0,0,0,0,0,0,0,0
2015,701000856,0,0,0,0,0,0,0,0,217.64111111111112,148.68305555555557,70.59847222222223,0,0
2015,701000857,0,0,19.763055555555553,0,0,0,0,0,0,0,0,0,0
2015,701000860,0,0,112.02041666666666,0,0,0,0,0,0,0,0,0,0
2015,701000865,0,0,24.051805555555557,7.132361111111111,0,0,0,0,0,0,0,0,0
2015,701000869,0,0,15.621805555555556,0.40125,0,0,0,0,232.30847222222224,0,0,0,0
2015,701000870,0,0,234.91222222222223,0.5177777777777778,0,0,0,0,0,0,0,0,0
2015,701000875,0,14.893055555555556,14.552222222222222,0,0,0,0,0,0,0,0,2.7820833333333335,0
2015,701000882,0,0,0,0,0,0,0,0,158.96625,85.08666666666667,70.64236111111111,0,0
2015,701000884,0,0,140.89166666666668,0,0,0,0,0,0,0,0,0,0
2015,701000895,0,0,0,0,0,0,0,0,406.06555555555553,140.1211111111111,79.93069444444444,0,0
2015,701000899,0,0,0,0,0,0,0,0,238.2825,55.96277777777778,48.15027777777778,0,0
2015,701000901,1.8409722222222222,2.811111111111111,711.8823611111111,0,0,0,0,0,0,0,0,0,0
2015,701000902,0,0,332.8384722222222,26.41638888888889,0,0,0,0,0,82.97902777777779,82.34902777777778,0,0
2015,701000916,0,0,0,0,0,0,0,0,226.3763888888889,118.34722222222223,58.40513888888889,0,0
2015,701000919,0,0,0,0,0,0,0,0,169.20291666666668,84.66513888888889,35.35055555555555,0,0
2015,701000925,0,0,0,0,0,0,0,0,344.4675,163.67805555555555,107.70875,0,0
2015,701000927,0,0,26.97486111111111,0,0,0,0,0,0,0,0,0,0
2015,701000928,0,0,0,0,0,0,0,0,238.2288888888889,134.08916666666667,81.56611111111111,0,0
2015,701000929,0,0,4.7195833333333335,0,0,0,0,0,0,0,0,0,0
2015,701000932,0,0,0,0,0,0,0,0,257.9226388888889,194.4488888888889,92.45611111111111,0,0
2015,701000940,0,0,95.09930555555556,0,0,0,0,0,0,0,0,0,0
2015,701000941,0,0,0,0,0,0,0,0,285.16013888888887,299.36583333333334,168.77527777777777,0,5.259305555555556
2015,701000945,0,0,126.66055555555556,0,0,0,0,0,0,0,0,0,0
2015,701000949,0,0,0,0,0,0,0,0,239.58013888888888,212.76791666666668,94.03375,0,0
2015,701000950,0,0,0,0,0,0,0,0,154.73194444444445,95.42791666666666,36.13652777777778,0,0
2015,701000959,0,0,7.913194444444445,0,0,0,0,0,0,0,0,0,0
2015,701000960,0,0,0,0,0,0,0,0,209.11708333333334,132.54736111111112,67.77666666666667,0,0
2015,701006003,0,0,0,0,0,0,0,0,298.91847222222225,260.52569444444447,146.94083333333333,0,0
2015,701006005,0,0,0,0,0,0,0,0,270.345,116.79902777777778,87.18333333333334,0,0
2015,701006007,0,0,3.7769444444444447,11.210416666666667,0,0,0,0,310.77152777777775,0,0,0,0
2015,701006020,0,0,130.4634722222222,79.915,0,0,0,0,0,31.422638888888887,31.422638888888887,16.183888888888887,17.580694444444443
